Species,Sex,Abd_length
AG,M,0.0831
AL,M,0.0831
AL,F,0.0831
AG,M,0.0832
AG,F,0.0832
AL,M,0.0832
AL,F,0.0832
AL,M,0.0832
AL,F,0.0832
AL,F,0.0832
AG,M,0.0833
AL,M,0.0833
AL,M,0.0833
AL,M,0.0833
AL,M,0.0834
AL,F,0.0834
AL,F,0.0835
AL,M,0.0835
AL,M,0.0835
AL,M,0.0835
AL,M,0.0835
AL,M,0.0835
AL,M,0.0835
AL,M,0.0835
AL,F,0.0835
AG,M,0.0836
AG,M,0.0836
AL,F,0.0836
AL,M,0.0837
AL,M,0.0837
AL,M,0.0837
AL,M,0.0837
AL,UNK,0.0838
AL,M,0.0838
AL,M,0.0838
AL,F,0.0838
AL,M,0.0838
AL,M,0.0838
AL,F,0.0839
AL,M,0.084
AL,F,0.084
AG,M,0.0841
AL,M,0.0841
AL,M,0.0841
AL,M,0.0841
AL,F,0.0841
AL,M,0.0841
AG,M,0.0842
AG,M,0.0842
AL,F,0.0842
AL,F,0.0842
AL,M,0.0842
AL,M,0.0842
AG,F,0.0843
AL,F,0.0843
AG,F,0.0844
AG,M,0.0844
AL,F,0.0844
AL,M,0.0844
AL,M,0.0846
AG,M,0.0847
AL,F,0.0847
AL,M,0.0847
AG,M,0.0848
AL,F,0.0848
AL,M,0.0848
AL,F,0.0848
AL,UNK,0.0848
AL,F,0.0849
AL,M,0.0849
AL,F,0.0849
AG,M,0.085
AL,F,0.085
AL,F,0.085
AG,M,0.0851
AL,F,0.0851
AG,M,0.0852
AL,F,0.0852
AL,F,0.0852
AL,F,0.0852
AL,F,0.0852
AL,M,0.0852
AG,M,0.0853
AL,M,0.0853
AL,F,0.0853
AL,F,0.0853
AL,M,0.0853
AG,F,0.0854
AL,M,0.0854
AL,M,0.0854
AL,M,0.0854
AL,F,0.0854
AL,M,0.0854
AL,M,0.0854
AL,UNK,0.0855
AL,M,0.0855
AL,M,0.0855
AL,F,0.0856
AL,M,0.0856
AL,M,0.0856
AL,F,0.0856
CQ,F,0.0856
AL,M,0.0857
AL,F,0.0857
AL,M,0.0858
AL,M,0.0858
AL,M,0.0858
AL,F,0.0858
AL,M,0.0858
AG,M,0.0859
AL,M,0.0859
AL,M,0.0859
AL,M,0.0859
CQ,F,0.0859
AG,M,0.086
AL,F,0.086
AL,F,0.086
AL,F,0.086
AL,F,0.086
AG,M,0.0861
AL,M,0.0861
AL,M,0.0861
AG,M,0.0862
AL,F,0.0862
AG,F,0.0863
AL,F,0.0863
AL,M,0.0863
AL,F,0.0863
AG,M,0.0864
AL,F,0.0864
AL,M,0.0864
AL,M,0.0864
AL,M,0.0864
AG,M,0.0865
AL,M,0.0865
AL,M,0.0865
AG,M,0.0866
AL,F,0.0867
AL,F,0.0867
AL,M,0.0867
AL,F,0.0867
AL,M,0.0867
AL,F,0.0868
AL,M,0.0868
AL,M,0.0868
AL,M,0.0868
AL,M,0.0868
AG,M,0.0869
AL,M,0.0869
AL,F,0.0869
AL,M,0.087
AL,M,0.087
AL,M,0.087
AL,M,0.087
AG,M,0.0871
AL,M,0.0871
AL,F,0.0871
AL,F,0.0871
AG,M,0.0872
AL,M,0.0872
AL,M,0.0872
AL,F,0.0872
AL,M,0.0872
AL,F,0.0872
AG,M,0.0873
AL,M,0.0873
AL,M,0.0873
AL,M,0.0873
AL,M,0.0873
AL,M,0.0873
AL,F,0.0873
AG,F,0.0874
AL,F,0.0874
AL,M,0.0874
AL,M,0.0874
AL,F,0.0875
AL,F,0.0875
AL,M,0.0875
AL,F,0.0875
AL,M,0.0876
AL,M,0.0876
AL,M,0.0876
AL,M,0.0876
AG,M,0.0877
AG,M,0.0877
AG,F,0.0877
AL,M,0.0877
AL,F,0.0877
AG,F,0.0878
AL,M,0.0878
AL,F,0.0878
AL,M,0.0878
AL,M,0.0878
AL,M,0.0878
AG,M,0.0879
AG,F,0.088
AG,F,0.088
AG,F,0.088
AG,F,0.088
AL,F,0.088
AL,F,0.088
AL,M,0.088
AG,M,0.0881
AL,M,0.0881
AG,M,0.0882
AG,M,0.0882
AL,F,0.0882
AL,F,0.0882
AL,M,0.0882
AL,M,0.0882
AL,M,0.0882
AL,M,0.0883
AL,M,0.0883
AL,M,0.0883
AL,M,0.0883
AG,F,0.0884
AL,M,0.0884
AL,M,0.0884
AG,M,0.0885
AG,M,0.0885
AL,M,0.0885
AL,F,0.0885
AL,M,0.0885
AL,F,0.0885
CQ,M,0.0885
AG,M,0.0886
AG,M,0.0887
AL,M,0.0887
AL,M,0.0887
AL,F,0.0887
AL,M,0.0887
AL,M,0.0887
AL,M,0.0888
AL,M,0.0888
AG,F,0.0889
AG,M,0.0889
AG,M,0.0889
AG,M,0.0889
AL,M,0.0889
AL,M,0.0889
AL,F,0.0889
AL,F,0.0889
AL,F,0.0889
AG,M,0.089
AL,F,0.089
AL,M,0.089
AL,M,0.089
AL,M,0.089
AG,M,0.0891
AG,M,0.0891
AL,M,0.0891
AL,F,0.0891
AL,F,0.0891
AG,F,0.0892
AL,F,0.0892
AL,M,0.0892
AL,F,0.0892
AL,M,0.0892
AG,M,0.0893
AG,M,0.0893
AL,M,0.0893
AL,F,0.0893
AL,F,0.0893
AL,M,0.0893
AG,M,0.0894
AG,F,0.0894
AL,F,0.0894
AL,F,0.0894
AG,F,0.0895
AG,M,0.0895
AG,M,0.0895
AL,M,0.0895
AL,M,0.0896
AL,M,0.0896
AL,M,0.0896
AG,M,0.0897
AL,F,0.0897
AL,F,0.0897
AL,F,0.0898
AL,F,0.0898
AG,F,0.0899
AL,M,0.0899
AL,F,0.0899
AL,F,0.0899
AG,M,0.09
AG,M,0.09
AG,F,0.09
AL,M,0.09
AL,M,0.09
AL,M,0.09
AL,M,0.09
AG,F,0.0901
AG,F,0.0901
AG,M,0.0901
AL,F,0.0901
AL,F,0.0901
AL,F,0.0902
AL,M,0.0902
AL,M,0.0902
AL,M,0.0902
AL,F,0.0902
AL,M,0.0902
CQ,F,0.0902
AG,M,0.0903
AG,M,0.0903
AL,M,0.0903
AL,M,0.0903
AL,F,0.0903
AG,M,0.0904
AG,M,0.0904
AL,M,0.0904
AL,M,0.0904
AL,F,0.0904
AL,M,0.0904
AG,M,0.0905
AG,F,0.0905
AG,M,0.0906
AL,UNK,0.0906
AL,F,0.0906
CQ,F,0.0906
AG,M,0.0907
AG,M,0.0907
AL,M,0.0907
AL,M,0.0907
AL,M,0.0907
AL,M,0.0907
AL,M,0.0907
CQ,F,0.0907
AG,F,0.0908
AG,M,0.0908
AL,F,0.0908
AL,F,0.0908
CQ,F,0.0908
AG,F,0.0909
AL,F,0.0909
AL,F,0.0909
AL,M,0.0909
AL,F,0.0909
AL,M,0.0909
AL,F,0.0909
AG,M,0.091
AG,M,0.091
AL,M,0.091
AL,M,0.091
CQ,F,0.091
AG,M,0.0911
AG,M,0.0911
AG,M,0.0911
AG,M,0.0911
AL,F,0.0911
AL,M,0.0911
AL,M,0.0911
AL,F,0.0911
CQ,F,0.0911
CQ,F,0.0911
AG,M,0.0912
AG,M,0.0912
AG,M,0.0912
AL,M,0.0912
AL,F,0.0912
AG,F,0.0913
AL,F,0.0913
AL,M,0.0913
AL,M,0.0913
AL,M,0.0913
AG,M,0.0914
AG,M,0.0914
AL,M,0.0914
AL,F,0.0914
AL,M,0.0914
AL,M,0.0914
AL,F,0.0914
CQ,F,0.0914
AG,F,0.0915
AG,F,0.0915
AG,M,0.0915
AG,M,0.0915
AL,M,0.0915
AL,M,0.0915
CQ,F,0.0915
CQ,F,0.0915
AG,M,0.0916
AL,M,0.0916
AL,M,0.0916
AG,M,0.0917
AL,M,0.0917
AL,M,0.0917
AL,F,0.0917
AL,F,0.0917
AL,F,0.0917
AL,M,0.0917
AG,M,0.0918
AG,M,0.0918
AL,F,0.0918
AL,M,0.0918
AL,F,0.0918
AL,M,0.0918
AG,M,0.0919
AG,M,0.0919
AL,F,0.0919
AL,F,0.0919
AL,M,0.0919
AL,F,0.0919
AL,F,0.0919
AL,M,0.0919
AL,M,0.0919
AL,F,0.0919
AL,F,0.0919
AG,M,0.092
AL,M,0.092
AL,M,0.092
AL,F,0.092
AG,F,0.0921
AL,M,0.0921
AL,M,0.0921
AL,M,0.0921
AG,M,0.0922
AL,F,0.0922
AL,F,0.0922
AL,M,0.0922
AG,M,0.0923
AG,M,0.0923
AG,M,0.0923
AG,M,0.0923
AL,M,0.0923
AL,F,0.0923
AL,M,0.0923
AG,F,0.0924
AL,M,0.0924
AL,F,0.0924
AL,M,0.0924
AL,F,0.0924
AL,F,0.0924
AG,F,0.0925
AL,M,0.0925
AL,F,0.0925
AL,M,0.0925
AL,F,0.0925
AL,F,0.0925
AL,F,0.0925
AG,F,0.0926
AG,M,0.0926
AL,F,0.0926
AL,F,0.0926
AL,F,0.0926
AL,F,0.0926
AG,M,0.0927
AG,M,0.0927
AL,F,0.0927
AL,F,0.0927
AL,M,0.0927
AG,M,0.0928
AG,M,0.0928
AL,F,0.0928
AL,M,0.0928
AL,M,0.0928
AL,F,0.0928
AL,F,0.0928
AG,F,0.0929
AG,M,0.0929
AG,M,0.0929
AG,F,0.0929
AL,F,0.0929
AL,M,0.0929
AL,M,0.0929
AL,M,0.0929
AL,F,0.0929
AL,M,0.0929
AG,M,0.093
AG,M,0.093
AG,M,0.093
AL,F,0.093
AL,M,0.093
AL,M,0.093
CQ,F,0.093
AG,M,0.0931
AG,M,0.0931
AG,M,0.0931
AL,M,0.0931
AL,M,0.0931
AG,F,0.0932
AL,M,0.0932
AL,M,0.0932
AL,M,0.0932
AL,M,0.0932
AL,M,0.0932
CQ,F,0.0932
AG,F,0.0933
AG,M,0.0933
AG,F,0.0933
AG,M,0.0933
AL,F,0.0933
AL,M,0.0933
AL,F,0.0933
AG,F,0.0934
AG,M,0.0934
AG,M,0.0934
CQ,F,0.0934
AG,M,0.0935
AL,M,0.0935
AL,M,0.0935
AG,F,0.0936
AG,M,0.0936
AG,M,0.0936
AG,M,0.0936
AL,M,0.0936
AL,M,0.0936
AG,M,0.0937
AG,F,0.0937
AG,M,0.0937
AL,M,0.0937
AL,F,0.0937
AL,F,0.0937
AL,M,0.0937
AL,M,0.0937
AG,M,0.0938
AG,M,0.0938
AG,M,0.0938
AG,M,0.0938
AG,M,0.0938
AL,F,0.0938
AL,M,0.0938
AL,M,0.0938
AL,M,0.0938
AL,F,0.0938
AL,F,0.0938
CQ,M,0.0938
AG,M,0.0939
AG,M,0.0939
AG,F,0.0939
AG,M,0.0939
AG,F,0.0939
AL,M,0.0939
AL,F,0.0939
AL,M,0.0939
AL,M,0.0939
AL,F,0.0939
AL,M,0.0939
CQ,F,0.0939
CQ,F,0.0939
AG,M,0.094
AG,F,0.094
AL,F,0.094
AL,F,0.094
AL,M,0.094
AL,M,0.094
AG,F,0.0941
AG,M,0.0941
AL,M,0.0941
AL,M,0.0941
AL,F,0.0941
AL,F,0.0941
AL,M,0.0941
AL,F,0.0941
AG,M,0.0942
AG,F,0.0942
AG,M,0.0942
AG,M,0.0942
AL,M,0.0942
AL,F,0.0942
AL,F,0.0942
AL,M,0.0942
AL,M,0.0942
AG,M,0.0943
AG,M,0.0943
AL,F,0.0943
AL,M,0.0943
AL,M,0.0943
AL,F,0.0943
AL,M,0.0943
AG,M,0.0944
AG,M,0.0944
AG,M,0.0944
AG,F,0.0944
AL,M,0.0944
AL,M,0.0944
AG,M,0.0945
AG,M,0.0945
AG,M,0.0945
AL,M,0.0945
AL,M,0.0945
AL,F,0.0945
AL,M,0.0945
AL,M,0.0945
AL,M,0.0945
AG,F,0.0946
AL,M,0.0946
AL,F,0.0946
AL,M,0.0946
AG,F,0.0947
AG,M,0.0947
AG,M,0.0947
AG,M,0.0947
AL,F,0.0947
AL,M,0.0947
AL,M,0.0947
AL,F,0.0947
AL,M,0.0947
AG,M,0.0948
AG,M,0.0948
AL,M,0.0948
AL,F,0.0948
AL,M,0.0948
CQ,F,0.0948
AG,M,0.0949
AG,M,0.0949
AG,M,0.0949
AG,M,0.0949
AG,M,0.0949
AG,M,0.095
AG,F,0.095
AG,M,0.095
AG,F,0.095
AG,M,0.095
AG,M,0.095
AL,F,0.095
AL,M,0.095
AL,F,0.095
AL,M,0.095
AL,M,0.095
AG,F,0.0951
AG,F,0.0951
AG,F,0.0951
AG,M,0.0951
AG,M,0.0951
AG,M,0.0951
AL,F,0.0951
AL,F,0.0951
AL,F,0.0951
AL,M,0.0951
AL,M,0.0951
AL,F,0.0951
AL,F,0.0951
AL,F,0.0951
AL,F,0.0951
AL,F,0.0951
AG,M,0.0952
AG,M,0.0952
AL,M,0.0952
AL,M,0.0952
AL,F,0.0952
CQ,F,0.0952
AG,M,0.0953
AG,F,0.0953
AG,F,0.0953
AG,M,0.0953
AL,M,0.0953
AL,M,0.0953
AL,F,0.0953
AG,F,0.0954
AG,M,0.0954
AG,M,0.0954
AG,M,0.0954
AG,M,0.0954
AG,M,0.0954
AG,M,0.0954
AL,F,0.0954
AL,M,0.0954
AL,M,0.0954
AL,M,0.0954
AG,M,0.0955
AG,M,0.0955
AG,M,0.0955
AL,M,0.0955
AL,M,0.0955
AG,M,0.0956
AG,M,0.0956
AG,F,0.0956
AG,F,0.0956
AG,F,0.0956
AL,M,0.0956
AL,F,0.0956
AL,M,0.0956
AG,M,0.0957
AG,M,0.0957
AG,M,0.0957
AG,M,0.0957
AL,M,0.0957
AL,F,0.0957
AG,M,0.0958
AG,M,0.0958
AG,M,0.0958
AG,F,0.0958
AL,F,0.0958
AL,M,0.0958
AL,F,0.0958
AL,M,0.0958
AL,M,0.0958
AL,M,0.0958
AG,M,0.0959
AL,M,0.0959
AL,M,0.0959
AL,UNK,0.0959
CQ,M,0.0959
CQ,F,0.0959
AG,M,0.096
AG,F,0.096
AG,M,0.096
AL,F,0.096
AL,M,0.096
AL,F,0.096
AL,M,0.096
AL,F,0.096
AL,M,0.096
AG,M,0.0961
AG,M,0.0961
AG,M,0.0961
AL,UNK,0.0961
AL,M,0.0961
AL,M,0.0961
AL,M,0.0961
AL,M,0.0961
CQ,M,0.0961
AG,M,0.0962
AG,M,0.0962
AG,F,0.0962
AG,M,0.0962
AG,F,0.0962
AG,M,0.0962
AL,F,0.0962
AL,F,0.0962
AL,M,0.0962
CQ,F,0.0962
AG,F,0.0963
AG,M,0.0963
AG,M,0.0963
AG,F,0.0963
AG,M,0.0963
AG,F,0.0963
AL,M,0.0963
AL,F,0.0963
AL,M,0.0963
AG,F,0.0964
AG,F,0.0964
AG,M,0.0964
AG,M,0.0964
AL,M,0.0964
AL,F,0.0964
AL,F,0.0964
AL,F,0.0964
AL,F,0.0964
AL,M,0.0964
CQ,F,0.0964
AG,F,0.0965
AG,F,0.0965
AG,M,0.0965
AG,M,0.0965
AG,F,0.0965
AG,M,0.0965
AL,F,0.0965
AG,F,0.0966
AG,M,0.0966
AG,F,0.0966
AG,M,0.0966
AL,M,0.0966
AL,F,0.0966
AL,M,0.0966
AL,F,0.0966
AG,M,0.0967
AG,F,0.0967
AG,M,0.0967
AL,F,0.0967
AL,M,0.0967
AL,F,0.0968
AL,M,0.0968
AL,M,0.0968
AL,F,0.0968
AL,F,0.0968
AL,F,0.0968
AG,M,0.0969
AG,M,0.0969
AL,F,0.0969
AL,M,0.0969
CQ,F,0.0969
AG,F,0.097
AG,F,0.097
AL,F,0.097
AL,M,0.097
AL,M,0.097
AL,M,0.097
AG,F,0.0971
AG,M,0.0971
AG,F,0.0971
AG,M,0.0971
AG,M,0.0971
AG,M,0.0971
CQ,F,0.0971
AG,F,0.0972
AG,M,0.0972
AG,M,0.0972
AL,M,0.0972
AL,M,0.0972
AL,M,0.0972
AL,M,0.0972
AG,M,0.0973
AG,M,0.0973
AG,M,0.0973
AG,F,0.0973
AL,M,0.0973
AL,F,0.0973
AL,M,0.0973
AL,M,0.0973
CQ,M,0.0973
CQ,M,0.0973
AG,M,0.0974
AG,F,0.0974
AL,M,0.0974
AL,F,0.0974
AL,F,0.0974
AL,M,0.0974
AL,M,0.0974
AL,M,0.0974
AL,F,0.0974
AL,F,0.0974
AG,F,0.0975
AG,M,0.0975
AG,F,0.0975
AG,F,0.0975
AG,F,0.0975
AG,F,0.0975
AL,M,0.0975
AL,M,0.0975
AL,M,0.0975
AL,M,0.0975
AL,M,0.0975
AL,F,0.0975
AG,F,0.0976
AG,F,0.0976
AG,M,0.0976
AG,M,0.0976
AG,M,0.0976
AG,M,0.0976
AG,F,0.0976
AG,M,0.0976
AL,M,0.0976
AL,M,0.0976
AL,M,0.0976
AL,M,0.0976
AL,M,0.0976
AG,M,0.0977
AG,F,0.0977
AG,M,0.0977
AG,M,0.0977
AG,M,0.0977
AL,F,0.0977
AL,M,0.0977
AL,M,0.0977
AL,F,0.0977
AG,M,0.0978
AG,F,0.0978
AL,M,0.0978
AL,M,0.0978
AG,M,0.0979
AG,F,0.0979
AG,F,0.0979
AG,M,0.0979
AG,M,0.0979
AL,F,0.0979
AL,F,0.0979
AL,M,0.0979
AL,M,0.0979
AG,M,0.098
AG,F,0.098
AG,M,0.098
AG,F,0.098
AG,F,0.098
AG,M,0.098
AL,M,0.098
AL,M,0.098
AL,F,0.098
CQ,F,0.098
AG,M,0.0981
AG,F,0.0981
AG,F,0.0981
AL,M,0.0981
AL,F,0.0981
CQ,M,0.0981
CQ,F,0.0981
CQ,F,0.0981
AG,M,0.0982
AG,M,0.0982
AG,M,0.0982
AG,F,0.0982
AL,F,0.0982
AL,M,0.0982
AG,M,0.0983
AG,F,0.0983
AL,M,0.0983
CQ,M,0.0983
AG,M,0.0984
AG,F,0.0984
AG,F,0.0984
AG,M,0.0984
AL,M,0.0984
CQ,F,0.0984
AG,M,0.0985
AG,M,0.0985
AG,F,0.0985
AG,M,0.0985
AL,F,0.0985
AL,M,0.0985
AL,F,0.0985
AL,M,0.0985
CQ,F,0.0985
AG,M,0.0986
AG,M,0.0986
AG,M,0.0986
AG,M,0.0986
AL,F,0.0986
AL,M,0.0986
AL,F,0.0986
AL,F,0.0986
AG,M,0.0987
AG,F,0.0987
AG,M,0.0987
AL,M,0.0987
AL,F,0.0987
AL,F,0.0987
AG,M,0.0988
AG,UNK,0.0988
AG,F,0.0988
AG,M,0.0988
AL,F,0.0988
AL,F,0.0988
AL,F,0.0988
AL,M,0.0988
AL,F,0.0988
AL,M,0.0988
AL,F,0.0988
AL,F,0.0988
AG,M,0.0989
AG,M,0.0989
AG,F,0.0989
AL,F,0.0989
AL,M,0.0989
AL,M,0.0989
CQ,UNK,0.0989
CQ,F,0.0989
AG,M,0.099
AG,F,0.099
AG,F,0.099
AG,M,0.099
AG,F,0.099
AG,M,0.099
AL,F,0.099
AL,F,0.099
AL,F,0.099
AL,F,0.099
AL,M,0.099
CQ,F,0.099
CQ,F,0.099
CQ,F,0.099
AG,M,0.0991
AG,M,0.0991
AG,M,0.0991
AG,M,0.0991
AL,M,0.0991
AL,M,0.0991
AL,M,0.0991
AL,M,0.0991
AL,M,0.0991
CQ,F,0.0991
AG,F,0.0992
AG,M,0.0992
AG,M,0.0992
AG,M,0.0992
AG,M,0.0992
AG,M,0.0992
AG,F,0.0992
AL,M,0.0992
AL,M,0.0992
AL,F,0.0992
AL,F,0.0992
AL,M,0.0992
AL,F,0.0992
AL,M,0.0992
AG,M,0.0993
AG,F,0.0993
AL,M,0.0993
AL,M,0.0993
AL,M,0.0993
AL,F,0.0993
CQ,F,0.0993
AG,M,0.0994
AG,F,0.0994
AG,M,0.0994
AG,M,0.0994
AG,M,0.0994
AG,M,0.0994
AL,M,0.0994
AL,M,0.0994
AL,M,0.0994
AL,F,0.0994
AL,F,0.0994
CQ,M,0.0994
CQ,M,0.0994
AG,M,0.0995
AG,M,0.0995
AG,F,0.0995
AG,F,0.0995
AG,F,0.0995
AG,F,0.0995
AG,M,0.0995
AL,M,0.0995
AL,F,0.0995
AL,M,0.0995
AG,M,0.0996
AG,M,0.0996
AG,F,0.0996
AG,M,0.0996
AG,M,0.0996
AL,M,0.0996
AL,M,0.0996
AL,F,0.0996
AL,M,0.0996
AL,M,0.0996
AG,F,0.0997
AG,F,0.0997
AG,F,0.0997
AG,M,0.0997
AL,M,0.0997
AL,M,0.0997
AL,F,0.0997
AL,F,0.0997
AG,M,0.0998
AG,M,0.0998
AG,M,0.0998
AL,M,0.0998
AL,F,0.0998
AL,M,0.0998
AL,M,0.0998
AL,M,0.0998
AL,F,0.0998
AL,M,0.0998
AL,M,0.0998
AG,M,0.0999
AG,M,0.0999
AG,F,0.0999
AG,F,0.0999
AG,M,0.0999
AL,F,0.0999
AL,M,0.0999
AL,M,0.0999
AL,M,0.0999
AG,M,0.1
AG,M,0.1
AG,M,0.1
AG,M,0.1
AG,M,0.1
AG,M,0.1
AL,F,0.1
AL,M,0.1
AL,F,0.1
AL,M,0.1
AL,M,0.1
CQ,F,0.1
CQ,F,0.1
AG,F,0.1001
AG,M,0.1001
AG,M,0.1001
AG,F,0.1001
AG,F,0.1001
AG,M,0.1001
AL,M,0.1001
AL,F,0.1001
AL,M,0.1001
AL,F,0.1001
AL,F,0.1001
CQ,F,0.1001
AG,M,0.1002
AG,M,0.1002
AG,M,0.1002
AL,M,0.1002
CQ,M,0.1002
CQ,M,0.1002
CQ,M,0.1002
CQ,F,0.1002
AG,F,0.1003
AG,M,0.1003
AL,M,0.1003
AL,M,0.1003
